source,target,weight
H,Y1Ba2Cu3H0.14O7,0.14
H,Y1Ba2Cu3H0.48O7,0.48
H,Y1Ba2Cu3H1O7,1
H,Y1Ba2Cu3HO7,1
H,Y1Ba2Cu3HO7,1
Li,Y0.99Ba1.99Cu2.847Li0.153O6.4,0.153
Li,Y1.01Ba2.03Cu2.808Li0.192O6.6,0.192
Li,Li0.9Mo6O17,0.9
Li,Ba1Y0.67La0.33Cu1.8Li0.2O,0.2
O,Ba0.1La1.9Ag0.1Cu0.9O4,4
O,Ba0.1La1.9Cu1O4,4
O,Ba0.15La1.85Cu1O4,4
O,Ba0.3La1.7Cu1O4,4
O,Ba0.5La1.5Cu1O4,4
O,Ba1La1Cu1O4,4
O,Sr0.1La1.9Cu1O4,4
O,Sr0.15La1.85Cu1O4,4
O,Sr0.2La1.8Cu1O4,4
O,Sr0.3La1.7Cu1O4,4
O,Ba0.3La1.7Hg0.3Cu0.7O4,4
O,Ba0.1La1.9Ag0.05Cu0.95O4,4
O,Ba0.1La1.9Ag0.1Cu0.9O4,4
O,Ba0.1La1.9Ag0.25Cu0.75O4,4
O,Ba0.1La1.9Ag0.5Cu0.5O4,4
O,Y1Ba1.5Ca0.5Cu3O7,7
O,Ba0.15La1.85Cu1O4,4
O,La1.85Sr0.15Cu1O4,4
O,La1.95Sr0.05Cu1O4,4
O,La1.9Sr0.1Cu1O4,4
O,La1.775Sr0.225Cu1O4,4
O,La1.75Sr0.25Cu1O4,4
O,La1.7Sr0.3Cu1O4,4
O,La1.65Sr0.35Cu1O4,4
O,La1.6Sr0.4Cu1O4,4
O,La1.825Sr0.175Cu1O4,4
O,La1.85Ca0.15Cu1O4,4
O,Yb16Ba1Cu2O,1
O,Yb1.8Ba0.2Cu1O,1
O,Yb6Ba1Cu1O,1
O,Yb1.62La0.18Ba0.18Sr0.02Cu1O,1
O,Y0.4Ba0.6Cu1O,1
O,Y0.4Ba0.6Cu1O,1
O,Er0.5Ba0.5Cu1O,1
O,Tm0.35Ba0.65Cu1O,1
O,Tm0.3Ba0.7Cu1O,1
O,Tm0.25Ba0.75Cu1O,1
O,Tm0.2Ba0.8Cu1O,1
O,La2Ba4Cu6O14,14
O,Y1Ba2Cu3O,1
O,Y1.6Ba2.4Cu3O10,10
O,Y1.2Ba1.8Cu2O7,7
O,Y0.8Ba1.2Cu1O4,4
O,Nd0.4Ba0.6Cu1O,1
O,Eu0.4Ba0.6Cu1O3,3
O,Gd0.4Ba0.6Cu1O3,3
O,Dy0.4Ba0.6Cu1O3,3
O,Ho0.4Ba0.6Cu1O3,3
O,Er0.4Ba0.6Cu1O3,3
O,Tm0.4Ba0.6Cu1O3,3
O,Lu0.4Ba0.6Cu1O3,3
O,Nd2Ba3Cu5O,1
O,Sm1Ba2Cu3O,1
O,Gd2Ba3Cu5O,1
O,Y1Ba2Cu3O,1
O,Y0.3Ba0.7Cu1O3,3
O,Y0.8Ba1.2Cu1O,1
O,Y0.6Ba0.9Cu1O,1
O,Ba0.3La1.7Hg0.15Cu0.85O4,4
O,La1.85Sr0.15Cu1O4,4
O,Yb1.6La0.2Ba0.2Cu1O,1
O,Sr0.35La1.65Cu1O4,4
O,Y0.4Ba0.6Cu1O,1
O,Yb0.4Ba0.6Cu1O3,3
O,Lu1.8Ba0.2Cu1O4,4
O,Y0.9Ba0.1Cu1O4,4
O,Ba0.15La1.85Cu1O4,4
O,Sr0.15La1.85Cu1O4,4
O,Sr0.2La1.8Cu0.95Ti0.05O4,4
O,Sr0.2La1.8Cu0.99V0.01O4,4
O,Sr0.2La1.8Cu0.99Cr0.01O4,4
O,Sr0.2La1.8Cu0.98Mn0.02O4,4
O,Sr0.2La1.8Cu0.95Fe0.05O4,4
O,Sr0.2La1.8Cu0.95Co0.05O4,4
O,Sr0.2La1.8Cu0.95Ni0.05O4,4
O,Sr0.2La1.8Cu0.99Zn0.01O4,4
O,Pr0.1La1.7Sr0.2Cu1O4,4
O,Nd0.1La1.7Sr0.2Cu1O4,4
O,Sm0.1La1.7Sr0.2Cu1O4,4
O,Gd0.1La1.7Sr0.2Cu1O4,4
O,Y1Ba2Cu2.85Fe0.15O7,7
O,Y1Ba2Cu2.7Fe0.3O7,7
O,Y1Ba2Cu2.97Fe0.03O7,7
O,Y1Ba2Cu2.94Fe0.06O7,7
O,Y1Ba2Cu2.88Fe0.12O7,7
O,Y1Ba2Cu3O7,7
O,Y1Ba2Cu3S1O6,6
O,Y1Ba2Cu3Cl1O6,6
O,Y1Ba2Cu3O7,7
O,Y1Ba2Cu3O7,7
O,Gd1Ba2Cu3O7,7
O,Y1Ba2Cu3O7,7
O,Y1Ba2Cu3O7,7
O,Y1Ba2Cu3O7,7
O,Y1Ba2Cu3O7,7
O,Ho1Ba2Cu3O8,8
O,Y0.1Gd0.9Ba2Cu3O8,8
O,Y1Ba2Cu3O7,7
O,Y1Ba2Cu3O7,7
O,Y1Ba2Cu3O7,7
